start_station_id,start_station_name,start_lat,start_lng
7954.12,Frederick Douglass Blvd & W 145 St,40.823071718,-73.941738367
6771.13,W 54 St & 6 Ave,40.761822224,-73.977036119
5659.11,E 11 St & Ave B,40.72759223,-73.979750872
7443.01,Madison Ave & E 99 St,40.789807916,-73.952213883
4339.01,Butler St & Court St,40.685105681,-73.994274259
4422.05,Columbia St & Kane St,40.687755704,-74.001601577
7650.05,West End Ave & W 107 St,40.8021174,-73.9681805305
6490.02,108 St & 39 Ave,40.751675963,-73.859253645
5440.05,57 St & Grand Ave,40.719180703,-73.91248774499999
7918.12,Melrose Ave & E 154 St,40.819566607,-73.91613853
4847.03,Wyckoff Ave & Gates Ave,40.699910998,-73.911737442
5938.11,E 16 St & Irving Pl,40.735367055605394,-73.98797392845154
6765.01,12 Ave & W 40 St,40.760965466,-74.002834797
6923.20,31 St & Newtown Ave,40.767381787,-73.92118454
5074.08,Woodward Ave & Harman St,40.70793,-73.91092
7898.03,St Nicholas Ave & W 137 St,40.818465233,-73.947640419
5134.09,Broadway & Kent Ave,40.710843325,-73.968317866
4748.07,Clinton St & Tillary St,40.69623297129315,-73.99142056703568
7851.04,5 Av & W 139 St,40.815484,-73.935856
7727.07,Amsterdam Ave & W 119 St,40.808541298,-73.959700584
5779.09,E 13 St & Ave A,40.72966729392978,-73.98067966103554
6297.07,8 Ave & W 27 St,40.74808073,-73.996500492
4479.10,Schermerhorn St & Hoyt St,40.6886263,-73.9851911
5854.09,1 Ave & E 18 St,40.733892441,-73.980594039
6824.07,W 47 St & 10 Ave,40.762617707,-73.99276197
7504.18,E 106 St & Lexington Ave,40.791943669,-73.945835948
6538.11,38 Ave & 29 St,40.754853129,-73.93366909
6889.12,E 72 St & York Ave,40.76663814,-73.95348296
7769.06,5 Ave & E 135 St,40.812159181,-73.937910438
4914.03,Bushwick Ave & Forrest St,40.70086658,-73.936498165
6425.04,11 Ave & W 27 St,40.751206875,-74.005429626
3240.15,Fort Hamilton Pkwy & E 5 St,40.649074078,-73.976831079
5430.10,6 Ave & Walker St,40.719533443,-74.005375743
8057.02,Grand Concourse & E 164 St,40.829576254,-73.921542525
3448.02,Parkside Ave & Ocean Ave,40.65485,-73.96217
8156.01,E 170 St & Clay Ave,40.837183952,-73.908627272
4628.05,Willoughby St & Fleet St,40.692049742,-73.981513023
7580.01,W 100 St & Broadway,40.7973721,-73.97041192
6542.05,99 St & 35 Ave,40.75404,-73.86887
8469.05,Audubon Ave & W 192 St,40.855874538,-73.927140713
7538.18,Central Park W & W 97 St,40.792755961,-73.964063764
8179.03,Walton Ave & E 168 St,40.836543083,-73.918273926
7563.06,E 116 St & 2 Ave,40.796830416,-73.937286854
4912.10,Catalpa Ave & Woodward Ave,40.70229,-73.90145
4441.06,Broadway & Hancock St,40.686712503,-73.916831374
4862.04,Myrtle Ave & 65 St,40.701257586,-73.890411377
6441.02,Broadway & W 37 St,40.75172632,-73.98753523
5752.07,Milton St & Franklin St,40.72906,-73.95779
5329.08,Murray St & West St,40.714502335,-74.012183785
6058.08,44 St & 48 Ave,40.739199519,-73.921339631
8194.07,E 170 St & Sheridan Ave,40.838320374,-73.912514567
8425.01,W Burnside Ave & University Ave,40.853651762,-73.912593722
3608.06,Maple St & Albany Ave,40.661609411,-73.93962729
6668.06,90 St & 32 Ave,40.75836,-73.87824
7835.10,St Ann's Ave & Westchester Ave,40.815907598,-73.911979079
6471.02,21 St & Queens Plaza North,40.753202915,-73.943461895
4199.13,Carlton Ave & St Marks Ave,40.679111481,-73.971801996
6733.01,99 St & Astoria Blvd,40.76196,-73.87042
7940.02,E 155 St & Courtlandt Ave,40.820632696,-73.917412996
6915.02,Steinway St & 28 Ave,40.76576519,-73.913620591
7256.01,20 Ave & 31 St,40.780167818,-73.906913161
5382.06,Grand St & Elizabeth St,40.718822,-73.99596
4735.16,Hancock St & Wyckoff Ave,40.697188735,-73.906862497
7774.02,Adam Clayton Powell Blvd & W 130 St,40.812409878,-73.946125746
3507.04,Prospect Park W & 20 St,40.656633,-73.983864
6188.04,Corona Ave & 98 St,40.744483471,-73.86527729
8799.01,Goulden Ave & W 205 St,40.87822473,-73.891926408
4987.06,White St & Moore St,40.704297781,-73.934761405
7170.04,35 St & 21 Ave,40.776820183,-73.906606317
6994.06,Ditmars Blvd & 79 St,40.768717408,-73.890929341
6028.01,57 Ave & 98 Pl,40.737955689,-73.861109614
5929.01,E 23 St & 1 Ave,40.736514926,-73.978145957
5955.12,Perry St & Greenwich Ave,40.735918,-74.000939
6398.06,W 37 St & 5 Ave,40.750479817,-73.983410954
5342.10,Allen St & Hester St,40.715866327,-73.991988063
5872.10,E 9 St & 5 Ave,40.732587457,-73.995731711
4596.09,Lawrence St & Willoughby St,40.69236178,-73.98631746
5129.01,Palmetto St & Traffic Ave,40.709284186,-73.894471765
6239.08,E 31 St & 3 Ave,40.743996382,-73.979786158
5369.01,Grand Ave & 55 St,40.71888,-73.91427
6174.03,79 St & Woodside Ave,40.74364,-73.88622
5636.11,Great Jones St,40.727446198,-73.99429822
6688.01,Crescent St & 35 Ave,40.7596276,-73.9321455
8520.01,Andrew Ave N & Hall of Fame Tce,40.858389974,-73.910016179
6569.08,W 35 St & Dyer Ave,40.754691750226016,-73.99740189313889
6779.04,Broadway & W 51 St,40.76228826,-73.98336183
8374.02,Park Ave & E 179 St,40.84995389,-73.898091555
4077.04,Smith St & 9 St,40.674644232,-73.997834206
6254.06,Center Blvd & 48 Ave,40.745038,-73.957539
5282.02,Devoe St & Morgan Ave,40.71370399,-73.935359955
5250.05,Bushwick Ave & Powers St,40.71234262,-73.940919995
6237.01,47 Ave & Skillman Ave,40.7437524099784,-73.94176483154297
5170.01,Stagg St & Morgan Ave,40.710681,-73.93372
7646.04,W 110 St & Amsterdam Ave,40.802692,-73.96295
7703.14,E 141 St & Jackson Ave,40.807162166,-73.911921263
6134.03,Greenpoint Ave & 47 St,40.742387295,-73.918223023
5247.10,Reade St & Broadway,40.714933515,-74.005548835
6258.03,72 St & 41 Ave,40.744691133,-73.893786192
7719.13,Southern Blvd & E 142 St,40.807347437082,-73.90809774398804
8613.09,10 Ave & W 207 St,40.864720821,-73.918685794
6677.03,32 Ave & 81 St,40.75763,-73.88682
8782.01,Paul Ave & W 205 St,40.877143741,-73.889353037
3950.03,Park Pl & Thomas S. Boyland St,40.671494484,-73.914398551
8157.06,Broadway & W 160 St,40.835711598,-73.943508148
5036.06,Leonard St & Boerum St,40.705853224,-73.946442366
